上
下
大
工
八
入
山
口
九
一
人
力
川
七
十
三
二
女
玉
本
子
丸
正
土
犬
夕
出
目
火
五
四
手
天
王
左
中
月
々
田
右
六
小
立
丁
日
刀
才
千
木
水
白
文
円
矢
市
牛
切
方
戸
太
父
少
友
毛
半
心
内
生
台
母
午
北
今
古
外
分
引
止
用
万
広
冬
竹
車
央
写
仕
耳
早
気
平
花
足
打
百
氷
虫
字
男
主
名
不
号
元
他
去
皿
先
赤
休
申
見
貝
石
礼
糸
町
宝
村
世
年
角
斤
青
体
色
来
社
当
図
毎
羽
林
行
金
草
里
作
多
肉
会
交
近
兄
雨
米
走
同
言
自
形
皮
空
音
学
代
光
考
回
谷
声
西
何
麦
弟
全
後
血
両
明
京
化
国
死
亡
地
東
食
直
前
有
私
画
知
活
長
曲
首
次
夜
姉
点
安
室
科
海
羊
店
南
星
州
取
茶
思
歩
向
妹
辺
付
札
鳥
黒
船
必
末
氏
失
魚
以
組
家
欠
未
紙
通
民
由
理
校
雪
強
夏
高
教
時
弱
週
風
記
黄
答
反
君
局
買
雲
楽
数
決
住
電
森
助
馬
間
場
医
朝
番
絵
所
池
究
道
役
研
身
者
支
話
投
対
受
美
予
服
比
度
発
定
表
客
重
持
負
相
要
新
事
部
和
県
保
返
乗
屋
売
送
辛
苦
泳
談
仮
験
物
具
実
試
使
勝
界
進
酒
始
業
算
運
漢
鳴
集
配
飲
終
顔
落
農
速
了
頭
聞
院
調
鉄
語
葉
習
軽
線
最
開
頁
親
公
読
求
転
路
病
横
歌
起
