責
条
済
委
省
制
批
断
任
素
敵
羨
設
検
岡
増
査
判
件
際
企
祈
挙
認
資
義
権
派
務
税
解
総
援
態
誕
衣
状
賀
降
各
評
費
姿
勢
諦
示
寝
営
坊
罰
案
策
提
置
域
更
応
宮
袖
吸
過
領
脱
統
値
価
副
観
藤
演
呼
崎
施
城
護
鬼
割
職
秀
贅
俳
停
宅
痒
裁
律
導
革
乳
収
現
備
紫
則
棚
突
準
張
優
沢
師
幹
看
庁
額
腕
境
燃
担
祝
届
違
差
象
展
審
層
視
環
製
述
武
型
狭
管
載
質
量
販
供
肩
規
株
触
輸
腰
慣
居
逮
票
属
捉
捕
候
輩
況
涼
響
効
莫
絶
鮮
満
与
掛
隠
模
含
訟
限
肥
豊
栄
抜
替
給
景
巻
捜
構
影
絞
訴
補
渡
接
再
独
獣
菓
討
故
較
創
造
励
激
占
障
我
徴
授
往
鉛
郵
針
従
豚
復
河
貯
印
振
怪
汗
筆
怒
昇
迷
招
腹
濃
睡
康
端
極
就
郎
健
誘
貸
憧
惑
痛
退
途
靴
眠
暇
段
胃
症
締
迫
訪
織
悩
屈
攻
撃
浜
綺
益
沼
児
揃
憲
冷
処
微
博
程
凍
巨
稚
幼
並
麗
修
奇
衆
潔
清
録
逆
移
精
隊
庫
妙
券
傘
婦
略
積
添
寄
宴
板
壊
僚
杯
娘
診
督
乾
欧
恐
猛
江
韓
雄
玄
航
監
勧
宗
請
怖
索
臣
催
街
詰
緊
閣
促
烈
魅
背
騒
飾
預
渇
版
柵
旗
浮
越
照
漏
系
覧
婚
懐
撮
枕
遊
快
貧
延
押
乏
匂
盗
購
適
翌
符
濡
