功
成
岸
競
争
便
老
命
指
初
味
追
神
良
意
労
級
好
昔
低
育
令
拾
注
利
位
仲
放
秒
別
特
共
努
伝
戦
波
洋
誰
働
悪
息
章
登
寒
深
倍
勉
疲
消
祭
野
階
庭
港
彼
暑
湯
僕
島
童
員
商
都
動
第
期
植
根
短
球
泉
流
合
陽
歯
族
旅
待
温
着
皆
謝
整
橋
缶
選
器
暗
疑
料
感
情
様
養
緑
熱
億
俺
想
殺
宿
鏡
然
詩
練
賞
問
館
映
士
課
標
銀
駅
像
題
輪
能
芸
雰
骨
束
周
協
例
折
基
性
妥
卒
固
望
材
参
完
松
約
残
願
季
格
苺
頑
囲
的
念
希
狼
紀
軍
秋
信
岩
仏
建
猫
変
晴
築
勇
泣
司
区
英
丈
夫
福
飯
計
法
晩
昼
払
毒
昨
帰
式
列
浅
単
技
坂
匹
春
術
寺
浴
箱
係
治
危
冒
留
弁
証
存
面
遠
園
門
府
幸
阪
急
笑
荷
政
品
守
辞
真
関
険
典
専
冗
曜
書
是
結
底
因
詳
識
劇
干
敗
渉
果
官
署
察
堂
幻
非
愛
薬
覚
常
鼻
無
原
喜
恋
悲
塩
席
側
兵
説
細
梅
警
告
達
焼
借
弓
脳
飴
胸
繋
喫
等
枚
忘
苛
訓
種
報
句
許
可
僧
禁
静
座
煙
汽
叩
喉
類
洗
禅
得
加
冊
履
埋
忙
閥
布
歴
続
減
易
絡
笛
容
団
史
昆
徒
宙
混
善
順
宇
詞
芋
改
乱
節
連
舌
暴
財
若
裕
尻
確
械
犯
害
議
難
災
嫌
困
夢
震
在
飛
産
罪
穴
被
個
機
倒
経
率
圧
防
刺
臭
余
尾
論
厚
妻
