走
歩
辺
船
通
由
役
研
受
予
発
表
相
返
辛
速
了
線
路
横
終
整
疑
妥
望
辞
識
喜
繋
喫
種
報
僧
座
喉
類
煙
閥
容
暴
裕
確
械
犯
議
夢
被
機
