棄
凄
至
拠
蜂
儀
炭
潜
偽
畑
蛍
拳
酎
郷
蜜
仁
遜
侵
嘘
鉱
喧
伺
徹
瀬
嘩
墟
措
誠
虎
艦
撤
樹
包
析
弧
到
軸
挑
焦
掘
紛
範
括
床
握
枢
揚
潟
芝
肝
餅
喪
網
克
泊
双
柄
哲
斎
綱
袋
揺
滑
堅
暫
糾
荒
襲
朗
摩
趣
懲
慰
懇
晶
筒
滅
威
距
籍
露
炉
柔
琴
垣
即
滋
牧
泰
旨
刷
珍
擦
封
斉
沈
撲
裂
潮
貢
刃
砲
笠
竜
拶
縁
忍
釣
狐
吉
粒
髪
丘
斗
肢
寸
桃
梨
姫
挨
娯
謎
侍
叱
叫
芽
嵐
涙
雷
塔
朱
翼
頃
菌
鐘
舟
嫁
暦
曇
也
塾
呪
湿
稼
翔
賭
霊
溝
狩
脚
澄
塊
狂
嬢
裸
岳
磨
陰
肌
魂
矛
眺
硬
卓
凶
滝
井
墨
瞬
泡
穏
孔
椅
菊
綿
魔
寮
鳩
鈍
鍛
碁
癖
穂
吾
鍵
盆
庄
猿
棟
誇
瞳
寧
俵
幽
架
黙
斬
帝
租
錬
阻
歳
零
幣
箸
瞭
崖
炊
粧
墜
欺
滴
塀
霧
扇
扉
恨
帽
憎
佐
挿
伊
詐
如
唇
掌
婆
哀
虹
爽
憩
煎
尺
砕
粘
畳
胴
巾
芯
柳
遂
蓄
脇
殴
咲
鉢
賢
彩
隙
培
踊
闇
斜
霜
穫
麻
騎
辱
灯
畜
溶
蚊
帳
塗
貼
輝
憶
悔
耐
盾
蛇
班
餓
飢
迅
脅
尽
概
拘
煮
覆
駒
悟
慌
謀
鶴
拓
衰
奨
抽
淡
礎
陛
浸
劣
勘
隔
蹴
桑
尼
珠
壇
陶
妃
刈
准
唯
剛
征
誓
俗
潤
偶
巧
鰐
把
駄
洞
伯
唐
彰
漫
諮
廷
蟹
堰
漂
淀
堤
后
疫
翻
鬱
涯
銘
仰
簿
亭
訂
壮
軌
奮
峰
墳
搬
邪
